id,full,school,nickname,abbv
2000,Abilene Christian Wildcats,Abil Christian,Wildcats,ACU
2005,Air Force Falcons,Air Force,Falcons,AFA
2006,Akron Zips,Akron,Zips,AKR
2010,Alabama A&M Bulldogs,Alabama A&M,Bulldogs,AAMU
333,Alabama Crimson Tide,Alabama,Crimson Tide,ALA
2011,Alabama State Hornets,Alabama State,Hornets,ALST
399,Albany Great Danes,Albany,Great Danes,ALBY
2016,Alcorn State Braves,Alcorn State,Braves,ALCN
2026,Appalachian State Mountaineers,Appalachian St,Mountaineers,APP
9,Arizona State Sun Devils,Arizona State,Sun Devils,ASU
12,Arizona Wildcats,Arizona,Wildcats,ARIZ
8,Arkansas Razorbacks,Arkansas,Razorbacks,ARK
2032,Arkansas State Red Wolves,Arkansas State,Red Wolves,ARST
2029,Arkansas-Pine Bluff Golden Lions,AR-Pine Bluff,Golden Lions,ARPB
349,Army Black Knights,Army,Black Knights,ARMY
2,Auburn Tigers,Auburn,Tigers,AUB
2046,Austin Peay Governors,Austin Peay,Governors,PEAY
252,BYU Cougars,BYU,Cougars,BYU
2050,Ball State Cardinals,Ball State,Cardinals,BALL
239,Baylor Bears,Baylor,Bears,BAY
2065,Bethune-Cookman Wildcats,Bethune-Cookman,Wildcats,COOK
68,Boise State Broncos,Boise State,Broncos,BSU
103,Boston College Eagles,Boston College,Eagles,BC
189,Bowling Green Falcons,Bowling Green,Falcons,BGSU
2084,Buffalo Bulls,Buffalo,Bulls,BUFF
13,Cal Poly Mustangs,Cal Poly,Mustangs,CP
25,California Golden Bears,Cal,Golden Bears,CAL
2097,Campbell Camels,Campbell,Camels,CAMP
2110,Central Arkansas Bears,Cent Arkansas,Bears,UCA
2117,Central Michigan Chippewas,Cent Michigan,Chippewas,CMU
2127,Charleston Southern Buccaneers,Charleston So,Buccaneers,CHSO
2429,Charlotte 49ers,Charlotte,49ers,CHAR
236,Chattanooga Mocs,Chattanooga,Mocs,CHAT
2132,Cincinnati Bearcats,Cincinnati,Bearcats,CIN
228,Clemson Tigers,Clemson,Tigers,CLEM
324,Coastal Carolina Chanticleers,Coast Carolina,Chanticleers,CCAR
2142,Colgate Raiders,Colgate,Raiders,COLG
38,Colorado Buffaloes,Colorado,Buffaloes,COLO
36,Colorado State Rams,Colorado State,Rams,CSU
41,Connecticut Huskies,UConn,Huskies,CONN
48,Delaware Blue Hens,Delaware,Blue Hens,DEL
2169,Delaware State Hornets,Delaware State,Hornets,DSU
150,Duke Blue Devils,Duke,Blue Devils,DUKE
2184,Duquesne Dukes,Duquesne,Dukes,DUQ
151,East Carolina Pirates,ECU,Pirates,ECU
2197,Eastern Illinois Panthers,E Illinois,Panthers,EIU
2198,Eastern Kentucky Colonels,E Kentucky,Colonels,EKY
2199,Eastern Michigan Eagles,E Michigan,Eagles,EMU
331,Eastern Washington Eagles,E Washington,Eagles,EWU
2210,Elon Phoenix,Elon,Phoenix,ELON
50,Florida A&M Rattlers,Florida A&M,Rattlers,FAMU
2226,Florida Atlantic Owls,FAU,Owls,FAU
57,Florida Gators,Florida,Gators,FLA
2229,Florida Intl Golden Panthers,FIU,Golden Panthers,FIU
52,Florida State Seminoles,FSU,Seminoles,FSU
2230,Fordham Rams,Fordham,Rams,FOR
278,Fresno State Bulldogs,Fresno State,Bulldogs,FRES
231,Furman Paladins,Furman,Paladins,FUR
2241,Gardner-Webb Bulldogs,Gardner-Webb,Bulldogs,WEBB
61,Georgia Bulldogs,Georgia,Bulldogs,UGA
290,Georgia Southern Eagles,Ga Southern,Eagles,GASO
2247,Georgia State Panthers,Georgia State,Panthers,GAST
59,Georgia Tech Yellow Jackets,Georgia Tech,Yellow Jackets,GT
2755,Grambling State Tigers,Grambling St,Tigers,GRAM
2261,Hampton Pirates,Hampton,Pirates,HAMP
62,Hawaii Rainbow Warriors,Hawaii,Rainbow Warriors,HAW
248,Houston Cougars,Houston,Cougars,HOU
47,Howard Bison,Howard,Bison,HOW
304,Idaho State Bengals,Idaho State,Bengals,IDST
70,Idaho Vandals,Idaho,Vandals,IDHO
356,Illinois Fighting Illini,Illinois,Fighting Illini,ILL
2287,Illinois State Redbirds,Illinois State,Redbirds,ILST
84,Indiana Hoosiers,Indiana,Hoosiers,IND
282,Indiana State Sycamores,Indiana State,Sycamores,INST
2294,Iowa Hawkeyes,Iowa,Hawkeyes,IOWA
66,Iowa State Cyclones,Iowa State,Cyclones,ISU
2296,Jackson State Tigers,Jackson State,Tigers,JKST
55,Jacksonville State Gamecocks,Jacksonville St,Gamecocks,JVST
256,James Madison Dukes,JMU,Dukes,JMU
2305,Kansas Jayhawks,Kansas,Jayhawks,KU
2306,Kansas State Wildcats,Kansas State,Wildcats,KSU
2309,Kent State Golden Flashes,Kent State,Golden Flashes,KENT
96,Kentucky Wildcats,Kentucky,Wildcats,UK
99,LSU Tigers,LSU,Tigers,LSU
2320,Lamar Cardinals,Lamar,Cardinals,LAM
2335,Liberty Flames,Liberty,Flames,LIB
309,Louisiana Lafayette Ragin' Cajuns,LA-Lafayette,Ragin' Cajuns,ULL
2433,Louisiana Monroe Warhawks,UL Monroe,Warhawks,ULM
2348,Louisiana Tech Bulldogs,LA Tech,Bulldogs,LT
97,Louisville Cardinals,Louisville,Cardinals,LOU
311,Maine Black Bears,Maine,Black Bears,MAINE
276,Marshall Thundering Herd,Marshall,Thundering Herd,MRSH
120,Maryland Terrapins,Maryland,Terrapins,MD
113,Massachusetts Minutemen,UMass,Minutemen,UMASS
2377,McNeese State Cowboys,McNeese State,Cowboys,MCNS
235,Memphis Tigers,Memphis,Tigers,MEM
193,Miami (OH) RedHawks,Miami (OH),RedHawks,M-OH
2390,Miami Hurricanes,Miami,Hurricanes,MIAMI
127,Michigan State Spartans,Michigan State,Spartans,MSU
130,Michigan Wolverines,Michigan,Wolverines,MICH
2393,Middle Tennessee Blue Raiders,Mid Tennessee,Blue Raiders,MTSU
135,Minnesota Golden Gophers,Minnesota,Golden Gophers,MINN
344,Mississippi State Bulldogs,Miss St,Bulldogs,MSST
2400,Mississippi Valley State Delta Devils,Miss Valley St,Delta Devils,MVSU
2623,Missouri State Bears,Missouri State,Bears,MOST
142,Missouri Tigers,Missouri,Tigers,MIZ
2405,Monmouth Hawks,Monmouth,Hawks,MONM
149,Montana Grizzlies,Montana,Grizzlies,MONT
147,Montana State Bobcats,Montana State,Bobcats,MTST
2415,Morgan State Bears,Morgan State,Bears,MORG
93,Murray State Racers,Murray State,Racers,MURR
152,NC State Wolfpack,NC State,Wolfpack,NCST
2426,Navy Midshipmen,Navy,Midshipmen,NAVY
158,Nebraska Cornhuskers,Nebraska,Cornhuskers,NEB
2440,Nevada Wolf Pack,Nevada,Wolf Pack,NEV
160,New Hampshire Wildcats,UNH,Wildcats,UNH
167,New Mexico Lobos,New Mexico,Lobos,UNM
166,New Mexico State Aggies,New Mexico St,Aggies,NMSU
2447,Nicholls State Colonels,Nicholls State,Colonels,NICH
2450,Norfolk State Spartans,Norfolk State,Spartans,NORF
2448,North Carolina A&T Aggies,NC A&T,Aggies,NCAT
2428,North Carolina Central Eagles,NC Central,Eagles,NCCU
153,North Carolina Tar Heels,UNC,Tar Heels,UNC
155,North Dakota,North Dakota,,UND
2449,North Dakota State Bison,North Dakota St,Bison,NDSU
249,North Texas Mean Green,North Texas,Mean Green,UNT
111,Northeastern Huskies,Northeastern,Huskies,NE
2464,Northern Arizona Lumberjacks,N Arizona,Lumberjacks,NAU
2458,Northern Colorado Bears,N Colorado,Bears,UNCO
2459,Northern Illinois Huskies,N Illinois,Huskies,NIU
2460,Northern Iowa Panthers,Northern Iowa,Panthers,UNI
2466,Northwestern State Demons,Northwestern St,Demons,NWST
77,Northwestern Wildcats,Northwestern,Wildcats,NW
87,Notre Dame Fighting Irish,Notre Dame,Fighting Irish,ND
195,Ohio Bobcats,Ohio,Bobcats,OHIO
194,Ohio State Buckeyes,Ohio State,Buckeyes,OSU
201,Oklahoma Sooners,Oklahoma,Sooners,OKLA
197,Oklahoma State Cowboys,Oklahoma State,Cowboys,OKST
295,Old Dominion Monarchs,Old Dominion,Monarchs,ODU
145,Ole Miss Rebels,Ole Miss,Rebels,MISS
2483,Oregon Ducks,Oregon,Ducks,ORE
204,Oregon State Beavers,Oregon State,Beavers,ORST
213,Penn State Nittany Lions,Penn State,Nittany Lions,PSU
221,Pittsburgh Panthers,Pitt,Panthers,PITT
2502,Portland State Vikings,Portland State,Vikings,PRST
2504,Prairie View A&M Panthers,PV A&M,Panthers,PV
2506,Presbyterian College Blue Hose,Presbyterian,Blue Hose,PRE
2509,Purdue Boilermakers,Purdue,Boilermakers,PUR
227,Rhode Island Rams,URI,Rams,URI
242,Rice Owls,Rice,Owls,RICE
257,Richmond Spiders,Richmond,Spiders,RICH
164,Rutgers Scarlet Knights,Rutgers,Scarlet Knights,RUTG
2567,SMU Mustangs,SMU,Mustangs,SMU
16,Sacramento State Hornets,Sacramento St,Hornets,SAC
2534,Sam Houston State Bearkats,Sam Houston,Bearkats,SHSU
2535,Samford Bulldogs,Samford,Bulldogs,SAM
21,San Diego State Aztecs,San Diego State,Aztecs,SDSU
301,San Diego Toreros,San Diego,Toreros,USD
23,San Jose State Spartans,San Jose State,Spartans,SJSU
2542,Savannah State Tigers,Savannah State,Tigers,SAV
6,South Alabama Jaguars,South Alabama,Jaguars,USA
2579,South Carolina Gamecocks,South Carolina,Gamecocks,SC
2569,South Carolina State Bulldogs,S Carolina St,Bulldogs,SCST
233,South Dakota Coyotes,South Dakota,Coyotes,SDAK
2571,South Dakota State Jackrabbits,South Dakota St,Jackrabbits,SDSU
58,South Florida Bulls,USF,Bulls,USF
2546,Southeast Missouri State Redhawks,SE Missouri St,Redhawks,SEMO
2545,Southeastern Louisiana Lions,SE Louisiana,Lions,SELA
79,Southern Illinois Salukis,S Illinois,Salukis,SIU
2582,Southern Jaguars,Southern,Jaguars,SOU
2572,Southern Mississippi Golden Eagles,Southern Miss,Golden Eagles,USM
253,Southern Utah Thunderbirds,Southern Utah,Thunderbirds,SUU
24,Stanford Cardinal,Stanford,Cardinal,STAN
2617,Stephen F Austin Lumberjacks,SF Austin,Lumberjacks,SFA
2619,Stony Brook Seawolves,Stony Brook,Seawolves,STON
183,Syracuse Orange,Syracuse,Orange,SYR
2628,TCU Horned Frogs,TCU,Horned Frogs,TCU
218,Temple Owls,Temple,Owls,TEM
2635,Tennessee Tech Golden Eagles,Tenn Tech,Golden Eagles,TNTC
2633,Tennessee Volunteers,Tennessee,Volunteers,TENN
2630,Tennessee-Martin Skyhawks,UT Martin,Skyhawks,UTM
245,Texas A&M Aggies,Texas A&M,Aggies,TAMU
2837,Texas A&M-Commerce Lions,TX A&M-Commerce,Lions,TXA
251,Texas Longhorns,Texas,Longhorns,TEX
2636,Texas San Antonio Roadrunners,UTSA,Roadrunners,UTSA
2640,Texas Southern Tigers,Texas Southern,Tigers,TXSO
326,Texas State Bobcats,Texas State,Bobcats,TXST
2641,Texas Tech Red Raiders,Texas Tech,Red Raiders,TTU
2643,The Citadel Bulldogs,The Citadel,Bulldogs,CIT
2649,Toledo Rockets,Toledo,Rockets,TOL
119,Towson Tigers,Towson,Tigers,TOWS
2653,Troy Trojans,Troy,Trojans,TROY
2655,Tulane Green Wave,Tulane,Green Wave,TULN
202,Tulsa Golden Hurricane,Tulsa,Golden Hurricane,TLSA
5,UAB Blazers,UAB,Blazers,UAB
302,UC Davis Aggies,UC Davis,Aggies,UCD
2116,UCF Knights,UCF,Knights,UCF
26,UCLA Bruins,UCLA,Bruins,UCLA
2439,UNLV Rebels,UNLV,Rebels,UNLV
30,USC Trojans,USC,Trojans,USC
2638,UTEP Miners,UTEP,Miners,UTEP
328,Utah State Aggies,Utah State,Aggies,USU
254,Utah Utes,Utah,Utes,UTAH
2678,VMI Keydets,VMI,Keydets,VMI
238,Vanderbilt Commodores,Vanderbilt,Commodores,VAN
222,Villanova Wildcats,Villanova,Wildcats,NOVA
258,Virginia Cavaliers,UVA,Cavaliers,UVA
259,Virginia Tech Hokies,VT,Hokies,VT
2681,Wagner Seahawks,Wagner,Seahawks,WAG
154,Wake Forest Demon Deacons,Wake Forest,Demon Deacons,WAKE
264,Washington Huskies,Washington,Huskies,WASH
265,Washington State Cougars,Washington St,Cougars,WSU
2692,Weber State Wildcats,Weber State,Wildcats,WEB
277,West Virginia Mountaineers,West Virginia,Mountaineers,WVU
2717,Western Carolina Catamounts,W Carolina,Catamounts,WCU
2710,Western Illinois Leathernecks,W Illinois,Leathernecks,WIU
98,Western Kentucky Hilltoppers,W Kentucky,Hilltoppers,WKU
2711,Western Michigan Broncos,W Michigan,Broncos,WMU
2729,William & Mary Tribe,William & Mary,Tribe,W&M
275,Wisconsin Badgers,Wisconsin,Badgers,WIS
2747,Wofford Terriers,Wofford,Terriers,WOF
2751,Wyoming Cowboys,Wyoming,Cowboys,WYO
2754,Youngstown State Penguins,Youngstown St,Penguins,YSU
