26172,A&M-Corpus Christi,
429,Mississippi Col.,
430,Mississippi St.,Mississippi State
432,Mississippi Val.,Mississippi Valley State
434,Missouri,Missouri
435,Missouri S&T,
669,Missouri St.,Missouri State
506068,Missouri Valley,
398,MIT,
30042,Mitchell,
503262,Mo. Baptist,
9012,Mo. Southern St.,
9013,Mo. Western St.,
436,Mo.-St. Louis,
437,Molloy,
439,Monmouth,Monmouth
438,Monmouth (IL),
205,Mont. St. Billings,
441,Montana,Montana
440,Montana St.,Montana State
506022,Montana Tech,
442,Montclair St.,
1238,Montevallo,
443,Moravian,
444,Morehead St.,Morehead State
445,Morehouse,
446,Morgan St.,Morgan State
447,Morningside,
503365,Morris,
448,Morris Brown,
30067,Morrisville St.,
30036,Mount Aloysius,
449,Mount Holyoke,
27901,Mount Ida,
30033,Mount Mary,
1245,Mount Olive,
452,Mount Union,
20220,MSOE,
413,MSU Denver,
1240,MSU Moorhead,
506043,Mt. Aloysius,
8567,Mt. St. Joseph,
1468,Mt. St. Mary (NY),
450,Mt. St. Mary's,
451,Mt. St. Vincent,
453,Muhlenberg,
454,Murray St.,Murray State
455,Muskingum,
431,MUW,
488,N.C. A&T,North Carolina A&T
489,N.C. Central,North Carolina Central
491,N.C. Wesleyan,
8577,N.M. Highlands,
503430,Nasson,
726,Navy,Navy
461,Nazareth,
462,Neb. Wesleyan,
1156,Neb.-Kearney,
463,Nebraska,Nebraska
1254,Neumann,
466,Nevada,Nevada
467,New England Col.,
469,New Hampshire,New Hampshire
470,New Haven,
319,New Jersey City,
473,New Mexico,New Mexico
472,New Mexico St.,New Mexico State
474,New Orleans,
476,New Rochelle,
1257,Newberry,
21772,Newbury,
30054,Newman,
482,Niagara,
483,Nicholls St.,Nicholls State
484,Nichols,
471,NJIT,
485,Norfolk St.,Norfolk State
487,North Ala.,
457,North Carolina,North Carolina
490,North Carolina St.,N.C. State
492,North Central (IL),
30039,North Central (MN),
494,North Dakota,North Dakota
493,North Dakota St.,North Dakota State
2711,North Florida,
30052,North Georgia,
503660,North Georgia,
9223,North Greenville,
496,North Park,
497,North Texas,North Texas
500,Northeastern,
1263,Northeastern Ill.,
12810,Northeastern St.,
501,Northern Ariz.,Northern Arizona
502,Northern Colo.,Northern Colorado
503,Northern Ill.,Northern Illinois
505,Northern Ky.,
506,Northern Mich.,
1266,Northern St.,
1267,Northland,
507,Northwest Mo. St.,
1274,Northwest Nazarene,
509,Northwestern,Northwestern
506072,Northwestern (IA),
506013,Northwestern Okla.,
30178,Northwestern Okla.,
508,Northwestern St.,Northwestern State
30031,Northwestern-St.Paul,
510,Northwood,
511,Norwich,
513,Notre Dame,Notre Dame
8600,Notre Dame (MD),
30126,Notre Dame (OH),
30056,Notre Dame de Namur,
24639,Nova Southeastern,
1277,Nyack,
477,NYIT,
479,NYU,
514,Oakland,
1278,Oakland City,
515,Oberlin,
516,Occidental,
2713,Oglethorpe,
519,Ohio,Ohio
30119,Ohio Dominican,
517,Ohio Northern,
518,Ohio St.,Ohio State
15207,Ohio Valley,
520,Ohio Wesleyan,
503895,Okla. Baptist,
30202,Okla. Baptist,
30179,Okla. Christian,
24342,Okla. Panhandle,
522,Oklahoma,Oklahoma
503905,Oklahoma City,
521,Oklahoma St.,Oklahoma State
523,Old Dominion,Old Dominion
524,Old Westbury,
433,Ole Miss,Ole Miss
525,Olivet,
464,Omaha,
527,Oral Roberts,
529,Oregon,Oregon
528,Oregon St.,Oregon State
500078,Oregon Tech,
530,Oswego St.,
506046,Ottawa,
531,Otterbein,
1289,Ouachita Baptist,
23008,Ozarks (AR),
2682,P.R.-Bayamon,
1321,P.R.-Cayey,
27859,P.R.-Humacao,
24361,P.R.-Mayaguez,
2716,P.R.-Rio Piedras,
533,Pace,
534,Pacific,
2751,Pacific (OR),
1297,Pacific Lutheran,
535,Paine,
504035,Palm Beach Atl.,
30045,Palm Beach Atl.,
504050,Park,
506252,Parsons,
504055,Paul Quinn,
540,Penn,Pennsylvania
30190,Penn College,
506288,Penn College,
539,Penn St.,Penn State
30081,Penn St. Harrisburg,
30114,Penn St.-Abington,
25719,Penn St.-Altoona,
538,Penn St.-Behrend,
30044,Penn St.-Berks,
541,Pepperdine,
506235,Pershing,
506008,Peru St.,
542,Pfeiffer,
543,Philadelphia U.,
504115,Philander Smith,
21830,Piedmont,
504135,Pikeville,
544,Pine Manor,
1315,Pitt.-Bradford,
11839,Pitt.-Greensburg,
546,Pitt.-Johnstown,
1314,Pittsburg St.,
545,Pittsburgh,Pittsburgh
547,Plattsburgh St.,
548,Plymouth St.,
30149,Point Loma,
30080,Point Park,
500270,Point U.,
481,Polytechnic (NY),
549,Pomona-Pitzer,
551,Portland,
550,Portland St.,Portland State
1318,Post,
553,Prairie View,Prairie View A&M
504205,Pratt,
1320,Presbyterian,Presbyterian
30034,Presentation,
554,Princeton,Princeton
555,Principia,
556,Providence,
557,Puget Sound,
30029,Purchase,
559,Purdue,Purdue
504255,Purdue Northwest,
506441,Quantico Marines,
11504,Queens (NC),
560,Queens (NY),
561,Quincy,
562,Quinnipiac,
563,Radford,
564,Ramapo,
566,Randolph,
565,Randolph-Macon,
567,Redlands,
568,Regis (CO),
569,Regis (MA),
570,Rensselaer,
572,Rhode Island,Rhode Island
571,Rhode Island Col.,
573,Rhodes,
574,Rice,Rice
575,Richmond,Richmond
506225,Ricker,
576,Rider,
504350,Rio Grande,
577,Ripon,
580,RIT,
18422,Rivier,
578,Roanoke,
579,Robert Morris,Robert Morris
504365,Roberts Wesleyan,
30150,Roberts Wesleyan,
581,Rochester (NY),
503129,Rochester College,
582,Rockford,
1328,Rockhurst,
506025,Rocky Mountain,
583,Roger Williams,
30180,Rogers St.,
584,Rollins,
504410,Roosevelt,
585,Rose-Hulman,
15882,Rosemont,
259,Rowan,
586,Rust,
587,Rutgers,Rutgers
588,Rutgers-Camden,
589,Rutgers-Newark,
11276,S.C. Aiken,
102,Sacramento St.,Sacramento State
590,Sacred Heart,Sacred Heart
504446,Sacred Heart (PR),
11036,Sage Colleges,
591,Saginaw Valley,
594,Saint Augustine's,
595,Saint Benedict,
600,Saint Francis (PA),St. Francis (PA)
602,Saint John's (MN),
606,Saint Joseph's,
608,Saint Leo,
609,Saint Louis,
1343,Saint Martin's,
610,Saint Mary's (CA),
612,Saint Mary's (MN),
613,Saint Michael's,
617,Saint Peter's,
1347,Saint Rose,
30064,Saint Vincent,
30041,Salem,
19117,Salem Int'l,
621,Salem St.,
622,Salisbury,
623,Salve Regina,
624,Sam Houston St.,Sam Houston State
625,Samford,Samford
627,San Diego,San Diego
502122,San Diego Christian,
626,San Diego St.,San Diego State
628,San Fran. St.,
629,San Francisco,
630,San Jose St.,San Jose State
631,Santa Clara,
30163,Sarah Lawrence,
632,Savannah St.,Savannah State
16006,SCAD,
1355,Schreiner,
633,Scranton,
634,Seattle Pacific,
1356,Seattle U,
635,Seton Hall,
30063,Seton Hill,
504752,Seton Hill,
652,Sewanee,
676,SFA,Stephen F. Austin
636,Shaw,
637,Shenandoah,
10870,Shepherd,
638,Shippensburg,
30151,Shorter,
504790,Shorter,
506102,Si Tanka,
639,Siena,Siena
640,Simmons,
30127,Simon Fraser,
641,Simpson,
504809,Simpson (CA),
30128,Sioux Falls,
660,SIUE,
642,Skidmore,
643,Slippery Rock,
644,Smith,
663,SMU,SMU
645,Sonoma St.,
646,South Ala.,South Alabama
648,South Carolina,South Carolina
647,South Carolina St.,South Carolina State
650,South Dakota,South Dakota
30139,South Dakota Mines,
506067,South Dakota Mines,
649,South Dakota St.,South Dakota State
651,South Fla.,USF
2753,Southampton,
654,Southeast Mo. St.,Southeast Missouri State
655,Southeastern La.,Southeastern Louisiana
1371,Southeastern Okla.,
1376,Southern Ark.,
657,Southern California,USC
658,Southern Conn. St.,
659,Southern Ill.,Southern Illinois
661,Southern Ind.,
662,Southern Me.,
664,Southern Miss.,Southern Miss
468,Southern N.H.,
30152,Southern Nazarene,
506027,Southern Ore.,
506198,Southern St.,
504970,Southern Tech,
665,Southern U.,Southern University
667,Southern Utah,Southern Utah
30164,Southern Va.,
1379,Southern Vt.,
30192,Southern Wesleyan,
504980,Southern-N.O.,
506012,Southwest (NM),
2755,Southwest Baptist,
8736,Southwest Minn. St.,
506063,Southwestern (KS),
8746,Southwestern (TX),
8744,Southwestern Okla.,
23260,Spalding,
505038,Spalding,
26973,Spelman,
505040,Spring Arbor,
506256,Spring Garden,
30191,Spring Hill,
505050,Spring Hill,
673,Springfield,
506002,St. Ambrose,
592,St. Andrews,
593,St. Anselm,
506397,St. Bernard,
596,St. Bonaventure,
597,St. Catherine,
598,St. Cloud St.,
1334,St. Edward's,
9684,St. Elizabeth,
1335,St. Francis (IL),
504500,St. Francis (IN),
599,St. Francis Brooklyn,
601,St. John Fisher,
603,St. John's (NY),
8687,St. Joseph (CT),
30072,St. Joseph's (Brkln),
604,St. Joseph's (IN),
1340,St. Joseph's (L.I.),
605,St. Joseph's (ME),
607,St. Lawrence,
506064,St. Mary (KS),
8688,St. Mary's (IN),
611,St. Mary's (MD),
1346,St. Mary's (TX),
506108,St. Mary-Plains,
614,St. Norbert,
615,St. Olaf,
506411,St. Paul's,
616,St. Paul's,
506257,St. Procopius,
618,St. Scholastica,
30091,St. Thomas (FL),
620,St. Thomas (MN),
1348,St. Thomas Aquinas,
674,Stanford,Stanford
103,Stanislaus St.,
675,Staten Island,
2756,Stephens College,
506073,Sterling (KS),
678,Stetson,Stetson
505090,Steubenville,
679,Stevens,
21852,Stevenson,
680,Stillman,
681,Stockton,
682,Stonehill,
683,Stony Brook,Stony Brook
684,Suffolk,
1390,Sul Ross St.,
30165,SUNY Canton,
168,SUNY Cortland,
247,SUNY Geneseo,
506001,SUNY Geneva,
478,SUNY Maritime,
475,SUNY New Paltz,
526,SUNY Oneonta,
9500,SUNY Poly,
552,SUNY Potsdam,
685,Susquehanna,
686,Swarthmore,
687,Sweet Briar,
688,Syracuse,Syracuse
506050,Tabor,
505160,Talladega,
689,Tampa,
506230,Tarkio,
1395,Tarleton St.,
506071,Taylor (IN),
712,TCNJ,
698,TCU,TCU
690,Temple,Temple
694,Tennessee,Tennessee
691,Tennessee St.,Tennessee State
692,Tennessee Tech,Tennessee Tech
30090,Tex. A&M Int'l,
199,Tex. A&M-Commerce,
696,Tex. A&M-Kingsville,
30088,Tex. Permian Basin,
703,Texas,Texas
697,Texas A&M,Texas A&M
505260,Texas Col.,
1400,Texas Lutheran,
699,Texas Southern,Texas Southern
670,Texas St.,Texas State
700,Texas Tech,Texas Tech
1401,Texas Wesleyan,
701,Texas Woman's,
23121,Texas-Dallas,
30028,Texas-Tyler,
506226,Texas-Tyler,
141,The Citadel,Citadel
707,Thiel,
2758,Thomas (ME),
1402,Thomas More,
1403,Tiffin,
709,Toledo,Toledo
505310,Tougaloo,
711,Towson,Towson
28749,Transylvania,
30002,Trevecca Nazarene,
30037,Trine,
505355,Trine,
713,Trinity (CT),
505340,Trinity (IL),
715,Trinity (TX),
23413,Trinity Washington,
716,Troy,Troy
499,Truman,
717,Tufts,
718,Tulane,Tulane
719,Tulsa,Tulsa
12830,Tusculum,
720,Tuskegee,
1255,U New England,
9,UAB,UAB
108,UC Davis,UC Davis
109,UC Irvine,
111,UC Riverside,
112,UC San Diego,
104,UC Santa Barbara,
113,UC Santa Cruz,
9754,UC-Colo. Springs,
128,UCF,UCF
110,UCLA,UCLA
164,UConn,Connecticut
309,UIndy,
401,UMass Boston,
656,UMass Dartmouth,
368,UMass Lowell,
391,UMBC,
393,UMES,
2707,UMKC,
456,UNC Asheville,
537,UNC Pembroke,
459,UNCG,
460,UNCW,
504,UNI,Northern Iowa
506105,Union (KY),
727,Union (NY),
505405,Union (TN),
30153,Union (TN),
465,UNLV,UNLV
728,Upper Iowa,
506217,Upsala,
30104,Urbana,
730,Ursinus,
30140,Ursuline,
10411,USC Upstate,
28594,USciences,
702,UT Arlington,
695,UT Martin,Tennessee-Martin
732,Utah,Utah
731,Utah St.,Utah State
30024,Utah Valley,
704,UTEP,UTEP
733,Utica,
536,UTRGV,
706,UTSA,Texas-San Antonio
30181,UVa-Wise,
745,Va. Wesleyan,
734,Valdosta St.,
506055,Valley City St.,
30166,Valley Forge,
735,Valparaiso,Valparaiso
736,Vanderbilt,Vanderbilt
737,Vassar,
740,VCU,
738,Vermont,
739,Villanova,Villanova
746,Virginia,Virginia
743,Virginia St.,
742,Virginia Tech,Virginia Tech
744,Virginia Union,
741,VMI,Virginia Military Institute
747,Wabash,
748,Wagner,Wagner
749,Wake Forest,Wake Forest
30141,Walsh,
750,Wartburg,
751,Wash. & Jeff.,
752,Wash. & Lee,
2814,Washburn,
756,Washington,Washington
1029,Washington Adventist,
753,Washington Col.,
754,Washington St.,Washington State
755,Washington-St. Louis,
505610,Wayland Baptist,
757,Wayne St. (MI),
1433,Wayne St. (NE),
1434,Waynesburg,
505630,Webb Inst.,
758,Weber St.,Weber State
759,Webster,
760,Wellesley,
761,Wells,
762,Wentworth,
763,Wesley,
764,Wesleyan (CT),
14718,Wesleyan (GA),
358,West Ala.,
765,West Chester,
11740,West Florida,
766,West Ga.,
1438,West Liberty,
767,West Tex. A&M,
14901,West Va. Tech,
9630,West Va. Wesleyan,
768,West Virginia,West Virginia
1439,West Virginia St.,
769,Western Caro.,Western Carolina
770,Western Conn. St.,
771,Western Ill.,Western Illinois
772,Western Ky.,Western Kentucky
774,Western Mich.,Western Michigan
1445,Western N.M.,
775,Western New Eng.,
1446,Western Ore.,
2759,Western St.,
1448,Western Wash.,
777,Westfield St.,
505184,Westmar,
1450,Westminster (MO),
1451,Westminster (PA),
30209,Westminster (UT),
506139,Westminster (UT),
505775,Westmont,
778,Wheaton (IL),
779,Wheaton (MA),
12799,Wheeling Jesuit,
8896,Wheelock,
780,Whitman,
781,Whittier,
1454,Whitworth,
782,Wichita St.,
783,Widener,
505825,Wilberforce,
500077,Wiley,
784,Wilkes,
785,Willamette,
786,William & Mary,William & Mary
505850,William Carey,
506290,William Jessup,
30120,William Jewell,
17094,William Peace,
788,William Penn,
30073,William Smith,
789,Williams,
1460,Wilmington (DE),
1461,Wilmington (OH),
12973,Wilson,
1462,Wingate,
790,Winona St.,
791,Winston-Salem,
792,Winthrop,
8911,Wis. Lutheran,
793,Wis.-Eau Claire,
795,Wis.-La Crosse,
798,Wis.-Oshkosh,
799,Wis.-Parkside,
800,Wis.-Platteville,
801,Wis.-River Falls,
802,Wis.-Stevens Point,
803,Wis.-Stout,
804,Wis.-Superior,
805,Wis.-Whitewater,
796,Wisconsin,Wisconsin
806,Wittenberg,
787,Wm. Paterson,
2915,Wofford,Wofford
807,Wooster,
809,Worcester St.,
808,WPI,
810,Wright St.,
811,Wyoming,Wyoming
812,Xavier,
813,Yale,Yale
506249,Yankton,
814,Yeshiva,
2730,York (NY),
815,York (PA),
30154,Young Harris,
817,Youngstown St.,Youngstown State
